asset_path,type,description,source,author,license,license_url,added_commit,notes
themes/icons/48/charmap.svg,icon,Character map icon — glyph tiles with one sun-orange selection (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; glyphs are paths not fonts
themes/icons/48/camera.svg,icon,Camera icon (Captura) — charcoal body with sky-blue lens and sun-orange shutter (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/chart.svg,icon,Chart icon (Monitor) — warm rising bars and trend line (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/gauge.svg,icon,Gauge icon (Diagnóstico) — benchmark dial with warm arc and chocolate needle (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/package.svg,icon,Package icon (Centro de software) — chocolate parcel with butter tape (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/update.svg,icon,Update icon (Centro de actualizaciones) — circling sun-orange arrows (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/shield.svg,icon,Shield icon (Centro de recuperación) — sun-orange shield with white check (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/power.svg,icon,Power icon (Salir de Castalia) — chocolate ring with sun-orange stem (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/services.svg,icon,Services icon (Servicios del sistema) — three supervised rows with status lamps (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/mine.svg,icon,Mine icon (Buscaminas) — charcoal sphere with sun-orange flag (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/cards.svg,icon,Cards icon (Solitario) — white card over sun-orange card back; drawn pips (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; pips are paths not fonts
themes/icons/48/compat.svg,icon,Compatibility icon (Aplicaciones de Windows) — app window adapted by a sun-orange gear (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; no Microsoft imagery
themes/icons/48/joystick.svg,icon,Joystick icon (Juegos clásicos) — chocolate base with aluminium stick and sun-orange ball (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/calendar.svg,icon,Calendar icon (Calendario) — paper pad with chocolate header and a marked sun-orange day (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/keyboard.svg,icon,Keyboard icon (Teclado en pantalla) — aluminium keyboard with a sun-orange space bar (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/speaker.svg,icon,Speaker icon (Control de volumen) — charcoal speaker with sun-orange sound waves (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
themes/icons/48/users.svg,icon,Users icon (Cuentas de usuario) — a chocolate figure behind a sun-orange one (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
branding/boot/splash.svg,boot,Canonical boot splash static frame 640x480 (Bible §8.6),original,Tombatossals Softworks,Original-Castalia,,pending,Framebuffer-safe; animated choreography in branding/boot/README.md
branding/sound/wav/startup.wav,sound,"Startup sound — pad swell under rising E-G#-B motif (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/shutdown.wav,sound,"Shutdown sound — motif descends and resolves (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/notify.wav,sound,"Notification sound — two soft notes (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/error.wav,sound,"Error sound — Phrygian F+C bite (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/device-in.wav,sound,"Device connected — rising fifth (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/device-out.wav,sound,"Device removed — falling fifth (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
branding/sound/wav/empty-trash.wav,sound,"Trash emptied — three steps down (Bible §21.4)",generated: tools/sound_gen.py from branding/sound/palette.toml,Tombatossals Softworks,Original-Castalia,,pending,Deterministic render; E Phrygian dominant; -3 dBFS peak
iso/boot-bg/splash.png,boot,Boot-menu background 640x480 for GRUB/isolinux (Bible §6.2 §14.1),generated: tools/bootbg_gen.py from the splash design,Tombatossals Softworks,Original-Castalia,,pending,Deterministic pure-stdlib PNG bake
themes/cursors/src/left_ptr.svg,cursor,Default pointer — white arrow with chocolate outline (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/xterm.svg,cursor,Text I-beam pointer (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/watch.svg,cursor,Busy pointer — sun-orange clock face (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/hand2.svg,cursor,Pointing-hand pointer (links) (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/fleur.svg,cursor,Move pointer — four-way arrow (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/sb_h_double_arrow.svg,cursor,Horizontal resize pointer (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/sb_v_double_arrow.svg,cursor,Vertical resize pointer (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/crosshair.svg,cursor,Precision-select crosshair pointer (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/cursors/src/question_arrow.svg,cursor,Help pointer — arrow with sun-orange query badge (Bible §8.4),original,Tombatossals Softworks,Original-Castalia,,pending,24px source grid; Xcursor via tools/cursor_gen.py
themes/icons/48/window.svg,icon,Window icon (generic application window — the Alt+Tab switcher's stand-in for a program with no icon of its own) — sun-orange titlebar over a pale body (Bible §7.6/§8.4),original,Tombatossals Softworks,Original-Castalia,,pending,48px grid; top-left light
